spells_cast,runs_reached,wins_from_here,win_rate
0,10000,2852,0.285200
1,6901,2852,0.413273
2,5763,2852,0.494881
3,5099,2850,0.558933
4,4625,2819,0.609514
5,4227,2757,0.652236
6,3877,2683,0.692030
7,3587,2597,0.724003
8,3298,2484,0.753184
9,3069,2375,0.773868
10,2824,2237,0.792139
11,2615,2117,0.809560
12,2410,1980,0.821577
13,2231,1862,0.834603
14,2052,1738,0.846979
15,1893,1626,0.858954
16,1752,1515,0.864726
17,1616,1405,0.869431
18,1483,1294,0.872556
19,1367,1202,0.879298
20,1261,1113,0.882633
21,1178,1046,0.887946
22,1070,954,0.891589
23,987,885,0.896657
24,913,819,0.897043
25,846,761,0.899527
26,764,687,0.899215
27,705,635,0.900709
28,657,589,0.896499
29,618,552,0.893204
30,560,495,0.883929
31,528,466,0.882576
32,485,433,0.892784
33,440,392,0.890909
34,410,369,0.900000
35,379,345,0.910290
36,343,318,0.927114
37,319,301,0.943574
38,299,291,0.973244
39,289,286,0.989619
40,282,282,1.000000
